Suburb,Address,Rooms,Type,Price,BuildingArea,YearBuilt
Bentleigh East,21 Wards Gr,4,h,1206000,138,1940
Bentleigh East,2/3 Wonga Ct,2,t,486500,75,1960
Bentleigh East,26 Boronia St,2,h,1010000,NA,NA
Bentleigh East,16 Leigh St,3,h,899000,NA,NA
Bentleigh East,87 Parkmore Rd,4,h,1415000,177,1970
Bentleigh East,1A Brian St,4,t,1185000,207,2012
Bentleigh East,13 Brooks St,4,t,1060000,166,1960
Bentleigh East,4/738 Centre Rd,2,u,716000,NA,NA
Bentleigh East,18 May St,3,h,1550000,NA,NA
Bentleigh East,1098 North Rd,3,h,840000,NA,NA
Bentleigh East,106 Parkmore Rd,3,h,1110000,NA,NA
Bentleigh East,8 Tambet St,3,h,1106000,NA,NA
Bentleigh East,41 Bradford St,3,h,845000,145,1998
Bentleigh East,2/41 Elizabeth St,3,t,860000,117,1995
Bentleigh East,40 Kennedy St,3,h,1208000,NA,NA
Bentleigh East,5b MacKie Rd,3,t,921000,140,2009
Bentleigh East,13 Norville St,3,h,1165000,NA,NA
Bentleigh East,37 Orange St,3,h,1270000,NA,NA
Bentleigh East,1/112 Tambet St,2,h,742500,135,1960
Bentleigh East,25 Thornton St,3,h,920000,120,1950
Bentleigh East,53 Purtell St,3,h,1307000,NA,NA
Bentleigh East,33 Schulz St,4,h,1010000,112,NA
Bentleigh East,12 Tambet St,2,h,702000,102,1960
Bentleigh East,1/93 Tambet St,2,h,813000,NA,NA
Bentleigh East,2/15 Liverpool St,3,t,805000,117,2000
Bentleigh East,47 MacKie Rd,3,h,880000,NA,NA
Bentleigh East,23 Yarraburn Cl,4,h,1100000,190,2004
Bentleigh East,14 Vasey St,3,h,1085000,NA,NA
Bentleigh East,32a Argyle St,3,t,920000,NA,NA
Bentleigh East,12 Barrani St,3,h,1050000,131,1950
Bentleigh East,45 Browns Rd,3,h,1560000,NA,NA
Bentleigh East,25 Glover St,4,h,8e+05,NA,NA
Bentleigh East,21 Highview Rd,2,h,722000,79,2005
Bentleigh East,18 Normanby Rd,3,h,930000,133,1960
Bentleigh East,93 Tudor St,3,h,921000,119,2000
Bentleigh East,23 York St,4,h,1035000,160,1950
Bentleigh East,2/34 Adrian St,3,u,720000,NA,1996
Bentleigh East,20 Elizabeth St,3,h,1185000,NA,NA
Bentleigh East,7 England St,4,h,1352000,196,1950
Bentleigh East,11b Lilac St,4,t,1005000,205,2006
Bentleigh East,53 Molden St,2,u,761000,NA,NA
Bentleigh East,790 North Rd,5,h,1600000,315,1930
Bentleigh East,26 Almurta Rd,3,h,1200000,120,1970
Bentleigh East,1/57 Brooks St,3,h,780000,126,1950
Bentleigh East,48a Celia St,4,t,1250000,231,2010
Bentleigh East,30 Chauvel St,3,h,750000,NA,NA
Bentleigh East,36 Kennedy St,3,h,1300000,NA,NA
Bentleigh East,5 Kennedy St,5,h,1475000,NA,NA
Bentleigh East,8 Leo St,4,h,1110000,176,1960
Bentleigh East,42 Marlborough St,2,u,835000,NA,NA
Bentleigh East,11 Moylan St,4,h,1690000,165,1950
Bentleigh East,42 Paloma St,3,u,791000,122,1950
Bentleigh East,601 South Rd,3,h,9e+05,140,1940
Bentleigh East,1/51 Valkstone St,3,h,1189000,NA,2010
Bentleigh East,75 Victor Rd,3,t,825000,NA,NA
Bentleigh East,2/11 Francesco St,3,t,1030000,NA,NA
Bentleigh East,2/40 Francesco St,3,t,970000,156,2000
Bentleigh East,16 Greenview Ct,3,h,930000,NA,NA
Bentleigh East,5 Malane St,4,h,1510000,NA,NA
Bentleigh East,2/1 Mervin St,3,t,1240000,NA,NA
Bentleigh East,1002 North Rd,3,h,823000,143,2003
Bentleigh East,27 Parkmore Rd,4,h,1310000,NA,NA
Bentleigh East,71 Victor Rd,4,h,1475000,NA,NA
Bentleigh East,40 Waratah St,4,t,950000,NA,1940
Bentleigh East,1/38 Kennedy St,4,t,1045000,190,2010
Bentleigh East,3/14 Malane St,3,h,750000,NA,NA
Bentleigh East,2/111 Marlborough St,3,u,8e+05,NA,1994
Bentleigh East,2/119 Marlborough St,2,u,655000,80,2000
Bentleigh East,3 Molden St,5,h,1550000,257,1950
Bentleigh East,2/53 Moylan St,3,h,835000,105,1980
Bentleigh East,75 Orange St,3,h,1140000,NA,NA
Bentleigh East,18 Paloma St,2,h,1120000,NA,NA
Bentleigh East,31b Purtell St,4,t,1465000,256,2015
Bentleigh East,24 Veronica St,3,h,910000,96,1950
Bentleigh East,2/14 Wamba Rd,3,u,920000,123,2007
Bentleigh East,14 Charles St,3,t,935000,160,2012
Bentleigh East,14 Florence St,3,h,977000,163,1970
Bentleigh East,1 Jassa St,3,h,1352000,122,1950
Bentleigh East,12 Millard St,4,h,1115000,160,1960
Bentleigh East,4 Adrian St,3,h,780000,NA,1966
Bentleigh East,40 Chesterville Dr,3,h,1115000,NA,NA
Bentleigh East,54 Elizabeth St,3,h,1197000,147,1949
Bentleigh East,2/10 Matthews Rd,2,u,485000,83,2011
Bentleigh East,1/26 Patricia St,3,u,810000,NA,1950
Bentleigh East,39 Shrewsbury St,4,h,1365000,151,1960
Bentleigh East,579 Warrigal Rd,3,h,7e+05,NA,NA
Bentleigh East,10 Boronia St,4,h,1698888,337,2006
Bentleigh East,20 McGuinness Rd,4,h,1150000,NA,NA
Bentleigh East,6/1126 North Rd,2,u,340000,NA,2012
Bentleigh East,76 Bignell Rd,3,h,1e+06,NA,NA
Bentleigh East,5a Cavalier St,3,t,965000,28,2010
Bentleigh East,2/5 Connie St,3,u,870000,150,2011
Bentleigh East,23 Gardeners Rd,3,h,1405000,NA,NA
Bentleigh East,123 MacKie Rd,3,h,1161000,168,1950
Bentleigh East,11 Melball St,3,h,1266000,146,1970
Bentleigh East,2/8 Rudyard St,3,t,7e+05,200,2008
Bentleigh East,2A Barrani St,4,t,1325000,265,2012
Bentleigh East,2/16 Bessie St,3,u,770000,132,2005
Bentleigh East,177 Bignell Rd,3,h,1110000,538,NA
Bentleigh East,1/6 Brad St,1,u,380000,99,1970
Bentleigh East,98 Brady Rd,4,h,1175000,158,1980
Bentleigh East,3 Forrest St,3,h,1200000,120,1960
Bentleigh East,88 MacKie Rd,4,h,1370000,196,1970
Bentleigh East,4 Mawby Rd,4,h,1433500,186,1950
Bentleigh East,370 McKinnon Rd,2,h,1630000,NA,NA
Bentleigh East,43 Wards Gr,3,h,1360000,NA,NA
Bentleigh East,45 Chesterville Dr,4,h,9e+05,NA,NA
Bentleigh East,61 Molden St,3,t,860000,131,2005
Bentleigh East,30 Browns Rd,2,u,772500,NA,NA
Bentleigh East,15 Cormick St,3,h,1001000,NA,NA
Bentleigh East,3/2 Garden Rd,2,u,715000,114,1995
Bentleigh East,6 Gray St,3,h,801000,NA,NA
Bentleigh East,2/5 Pell St,3,t,882000,NA,NA
Bentleigh East,41 Wards Gr,2,h,1180000,NA,NA
Bentleigh East,30A Almurta Rd,3,t,840000,NA,NA
Bentleigh East,1/811 Centre Rd,2,h,710000,115,1950
Bentleigh East,335 Chesterville Rd,4,h,1040000,NA,NA
Bentleigh East,71 Deakin St,5,h,1550000,296,2007
Bentleigh East,2/42 Gowrie St,3,h,930000,NA,NA
Bentleigh East,2/12 Hodgson Gr,3,u,790000,100,1996
Bentleigh East,5 Konrad St,3,h,1040000,NA,NA
Bentleigh East,18 Patricia St,3,h,1020000,144,1960
Bentleigh East,2 Sanicki Ct,3,t,670000,NA,NA
Bentleigh East,2/25 Brooks St,3,u,8e+05,NA,NA
Bentleigh East,2/34 Browns Rd,4,t,1120000,NA,NA
Bentleigh East,16a Daphne St,3,t,970000,NA,NA
Bentleigh East,1/4 Daphne St,3,t,787500,NA,NA
Bentleigh East,24 Kurrajong St,3,h,950000,NA,NA
Bentleigh East,3b Manuka St,3,h,886000,122,2012
Bentleigh East,36a Barrington St,3,t,780000,NA,NA
Bentleigh East,3 Belinda Ct,4,h,1015000,198,1997
Bentleigh East,1/3 Brady Rd,3,u,830000,NA,2001
Bentleigh East,9 Colin St,3,h,1241000,NA,NA
Bentleigh East,27 Connie St,4,h,1255000,167,1950
Bentleigh East,8 Marlborough St,3,h,1320000,94,1950
Bentleigh East,1/39 Neville St,3,h,870000,133,1950
Bentleigh East,4 Wingate St,4,h,1472500,219,2013
Bentleigh East,25 Anarth St,2,h,640000,118,2005
Bentleigh East,115 Bignell Rd,2,h,1160000,NA,NA
Bentleigh East,12 John St,4,h,1306000,NA,NA
Bentleigh East,41 Mawby Rd,3,h,1291000,NA,NA
Brunswick,8/55 De Carle St,2,u,428000,NA,1970
Brunswick,234 Victoria St,2,h,1026000,108,1905
Brunswick,9 Blair St,4,h,1802500,93,1910
Brunswick,25 Hardy St,4,h,1500000,209,1890
Brunswick,29 Stewart St,4,h,2230000,287,1940
Brunswick,1/182 Albion St,3,h,1050000,NA,NA
Brunswick,11/97 Brickworks Dr,2,u,410000,66,2000
Brunswick,9/15 De Carle St,1,u,272500,40,1970
Brunswick,2/3 Donald St,3,h,680000,100,2016
Brunswick,3/9 Austin Tce,2,u,4e+05,61,1970
Brunswick,77 Blyth St,3,h,950000,96,1910
Brunswick,314 Barkly St,3,h,1310000,NA,1880
Brunswick,5/185 Brunswick Rd,4,t,860000,97,NA
Brunswick,141 Gold St,2,h,845500,90,1890
Brunswick,143 Gold St,2,h,860000,NA,1910
Brunswick,3/4 Mitchell St,2,t,605000,78,2009
Brunswick,13 Percy St,3,h,1055000,NA,1930
Brunswick,9/33 Staley St,2,u,445000,61,1975
Brunswick,1/263 Albion St,2,u,659500,85,1970
Brunswick,6/153 Barkly St,2,u,6e+05,75,2011
Brunswick,21/10 Breese St,3,u,627000,NA,NA
Brunswick,79 Hope St,4,h,1450000,NA,NA
Brunswick,2 Sheffield St,3,h,990000,NA,NA
Brunswick,129 Albion St,4,h,1115000,139,1900
Brunswick,39 Eveline St,3,h,1125000,91,1910
Brunswick,28 Osborne St,3,h,855000,97,1930
Brunswick,78 Stewart St,3,h,910000,NA,NA
Brunswick,16 Thistle St,3,t,940000,140,2016
Brunswick,28 Blair St,2,h,1100000,NA,1900
Brunswick,3/38 Charles St,2,t,750000,88,2013
Brunswick,73 Davies St,2,h,1056000,108,1910
Brunswick,7/117 Albion St,2,t,620000,2,NA
Brunswick,3/5 Evans St,3,u,880000,152,2000
Brunswick,5 MacKenzie St,3,h,1222500,126,1890
Brunswick,3A Austin Tce,3,h,810000,NA,NA
Brunswick,61 Evans St,2,h,1105000,NA,NA
Brunswick,136 Hope St,2,h,1260000,NA,1925
Brunswick,87 Hope St,3,t,955000,110,2007
Brunswick,94 Lydia St,1,t,895000,NA,NA
Brunswick,443 Albert St,2,h,1094000,NA,NA
Brunswick,391 Brunswick Rd,3,h,1135000,NA,NA
Brunswick,332 Albion St,2,h,792000,NA,NA
Brunswick,1/32 Donald St,2,u,587000,65,1970
Brunswick,98 Evans St,3,h,1060000,121,1935
Brunswick,144A Glenlyon Rd,2,h,840000,NA,NA
Brunswick,246 Victoria St,2,h,890000,93,1900
Brunswick,190 Barkly St,4,h,1358000,NA,NA
Brunswick,7 Barrow St,3,h,840000,NA,NA
Brunswick,2/12 Jones St,2,t,685000,100,2002
Brunswick,6/837 Park St,2,u,6e+05,NA,1970
Brunswick,74 Davies St,3,h,905000,NA,NA
Brunswick,14 Murdock St,3,h,976000,162,2005
Brunswick,8/2 Pottery Ct,3,t,641000,112,1900
Brunswick,157 Albion St,2,h,770000,87,1910
Brunswick,6/305 Albion St,1,u,279500,51,1970
Brunswick,177 Barkly St,4,h,1800000,180,1900
Brunswick,30 Charles St,4,h,1350000,151,1940
Brunswick,113 Glenlyon Rd,4,h,1320000,156,1920
Brunswick,311 Albion St,3,h,825000,130,1900
Brunswick,46 Cassels Rd,2,h,860000,NA,1900
Brunswick,50 Davies St,2,h,830000,NA,NA
Brunswick,58 Donald St,2,h,936000,NA,NA
Brunswick,175 Edward St,3,h,1261000,100,1910
Brunswick,84 Stewart St,3,h,1045000,105,1890
Brunswick,215/1 Dods St,3,u,1044000,85,2000
Brunswick,154 Brunswick Rd,3,h,1050000,126,1910
Brunswick,2 Chambers St,3,h,1691500,152,1920
Brunswick,54 Davies St,2,h,1075000,108,1930
Brunswick,2/1 Sturrock St,2,u,620000,NA,1975
Brunswick,23/10 Breese St,2,u,501000,80,2010
Brunswick,393A Brunswick Rd,3,h,1260000,98,1960
Brunswick,52 Evans St,3,h,1650000,141,1920
Brunswick,8/705 Park St,2,u,601000,57,1970
Brunswick,32 Rose St,1,h,8e+05,NA,NA
Brunswick,17 Sutherland St,2,h,1015000,86,1920
Brunswick,3 Ballarat St,1,t,625000,114,1930
Brunswick,5 Black St,3,h,1700000,195,1945
Brunswick,77 Brickworks Dr,3,t,815000,142,NA
Brunswick,11/68 De Carle St,2,u,435000,57,1973
Brunswick,68 Henkel St,2,h,890000,NA,NA
Brunswick,144 Union St,3,h,1815000,NA,NA
Brunswick,222 Barkly St,5,h,2500000,266,1890
Brunswick,105 Dawson St,2,h,860000,88,1910
Brunswick,10/66 De Carle St,2,u,491000,66,1960
Brunswick,64 Henkel St,3,h,990000,NA,NA
Brunswick,15/11 Aberdeen St,2,u,350000,NA,NA
Brunswick,35 Charles St,2,h,871000,NA,1880
Brunswick,5 Hanover St,3,h,985000,89,1940
Brunswick,64 Hanover St,3,h,1250000,162,1890
Brunswick,1/21 Jones St,2,h,542000,NA,NA
Brunswick,8/2 Pottery Ct,3,t,641000,112,1900
Brunswick,131 Tinning St,5,h,1395000,NA,NA
Brunswick,58 Cassels Rd,3,h,860000,104,1890
Brunswick,2/825 Park St,1,u,440000,NA,NA
Brunswick,26 Talbot St,2,h,860000,NA,NA
Brunswick,4 McPherson St,3,h,835000,NA,NA
Brunswick,35 Percy St,2,h,705000,68,1910
Brunswick,94 Wilson St,2,h,8e+05,NA,NA
Brunswick,270 Albion St,3,h,880000,117,1915
Brunswick,1 Davison St,3,h,1e+06,NA,NA
Brunswick,2/18 De Carle St,2,t,754000,105,2000
Brunswick,17 Goodman St,2,h,916000,NA,1890
Brunswick,5/6 Pottery Ct,2,u,590000,74,2004
Brunswick,2/6 Sydney Rd,2,u,575000,66,1950
Brunswick,41 Eveline St,2,h,1020000,NA,NA
Brunswick,28 Frederick St,3,h,1510000,150,1920
Brunswick,3/30 Heller St,2,t,801000,87,2007
Brunswick,32 Lobb St,3,t,820000,126,2011
Brunswick,10/285 Brunswick Rd,1,u,370000,45,1970
Brunswick,4 Frederick St,3,h,1170000,104,1890
Brunswick,4 Bell St,4,h,1790000,129,1920
Brunswick,2/123 Brunswick Rd,3,t,640000,118,2000
Brunswick,4 Bryant St,4,h,820000,NA,NA
Brunswick,36 Charles St,4,h,1875000,207,1958
Brunswick,7 Garnet St,3,h,1053000,1041,1925
Brunswick,11 William St,3,t,705000,111,2012
Brunswick,10/150 Brunswick Rd,1,u,240000,NA,NA
Brunswick,7 Hall St,4,h,1217000,127,1920
Brunswick,7 Louisa St,3,h,1020000,119,1943
Brunswick,302/34 Union St,2,u,1180000,NA,2010
Brunswick,26 Warburton St,3,h,1340000,132,1910
Brunswick,11 Denman St,4,h,1410000,214,1916
Brunswick,19 Horne St,3,h,1550000,126,1900
Brunswick,30 Lobb St,3,h,740000,122,2010
Brunswick,60 Rose St,3,h,947000,NA,NA
Brunswick,2/22 Saxon St,2,u,592500,89,2002
Brunswick,38 Stewart St,3,h,1317000,NA,NA
Brunswick,11/6 Sydney Rd,1,u,370000,54,1965
Brunswick,46 Tinning St,2,h,765000,120,1880
Brunswick,10 Cliff St,1,h,772000,82,1890
Brunswick,69 Glenlyon Rd,3,h,1210000,130,1890
Brunswick,25 Gray St,4,h,1755000,199,1910
Brunswick,30 Mountfield St,2,h,1073000,NA,NA
Brunswick,109 Stewart St,3,h,1080000,NA,NA
Brunswick,411 Barkly St,2,h,945000,103,1910
Brunswick,52 Talbot St,2,h,755000,157,1930
Preston,6 Dalgety St,3,h,1250000,141,1980
Preston,2 Eggleton Ct,3,h,855000,NA,NA
Preston,370 Gilbert Rd,4,h,930000,180,1920
Preston,164 Gower St,4,h,9e+05,NA,1940
Preston,19 Malpas St,4,h,1004000,NA,NA
Preston,376 Plenty Rd,3,h,930000,NA,NA
Preston,5 Kendall St,3,h,1200000,NA,NA
Preston,82 Murray Rd,3,h,721000,NA,NA
Preston,287 Plenty Rd,3,h,751000,3,1950
Preston,46 Dunstan St,2,h,835000,NA,NA
Preston,111 Gower St,3,h,637000,NA,NA
Preston,5 Kendall St,3,h,1265000,NA,NA
Preston,7 Kenneth St,3,h,1100000,130,NA
Preston,64 Malpas St,4,h,1082000,NA,NA
Preston,27 Olver St,2,t,715000,121,2009
Preston,672 Plenty Rd,5,h,630000,5,NA
Preston,82 Raglan St,2,h,837000,96,1950
Preston,191 Tyler St,3,h,950000,180,1918
Preston,24 Benambra St,3,h,840000,NA,NA
Preston,2/3 Burkitt Ct,3,u,496000,98,1990
Preston,10 May St,4,h,931000,NA,NA
Preston,5 Newman St,2,h,942000,NA,NA
Preston,94 High St,2,h,650000,360,NA
Preston,227 Murray Rd,2,h,850000,102,1940
Preston,32 Tyler St,3,h,560000,NA,NA
Preston,131b Albert St,2,h,540000,97,2005
Preston,91 Bruce St,3,h,1150000,143,1910
Preston,216 Gower St,3,h,965000,NA,NA
Preston,176 Albert St,3,h,7e+05,NA,NA
Preston,65 Albert St,3,h,615000,87,1950
Preston,6 Emerald St,2,h,775000,NA,NA
Preston,1 George St,3,h,735000,94,1950
Preston,10 Tyler St,3,h,550000,NA,NA
Preston,28 Tynan St,3,h,1e+06,NA,NA
Preston,12 Youngman St,2,h,780000,NA,NA
Preston,35 James St,4,h,810000,151,1950
Preston,41 Kathleen St,3,h,843000,NA,NA
Preston,16 Opal St,2,h,6e+05,106,2005
Preston,21 Dunstan St,3,h,925000,NA,1950
Preston,3/413 Gilbert Rd,1,u,305000,NA,1955
Preston,2 Hope St,3,h,1080000,NA,NA
Preston,3/27 Jessie St,2,u,656000,NA,1975
Preston,90 Murray Rd,2,h,799900,NA,NA
Preston,3 Parker St,3,h,916000,NA,NA
Preston,439 Plenty Rd,3,h,1e+06,3,NA
Preston,33 Showers St,4,h,914000,NA,NA
Preston,287 Tyler St,3,h,1650000,129,1890
Preston,15 Morgan St,3,h,990000,NA,1920
Preston,3/104 Regent St,2,u,512000,NA,NA
Preston,126 Albert St,3,h,6e+05,101,1950
Preston,34 Dean St,4,h,910000,NA,NA
Preston,1/61 Eton St,3,h,485000,NA,NA
Preston,99 Murray Rd,3,h,9e+05,NA,NA
Preston,7 Tynan St,4,h,1e+06,NA,NA
Preston,13 George St,2,h,722000,88,1955
Preston,60 Cramer St,3,h,910000,NA,NA
Preston,23 Dean St,4,h,1260000,150,1950
Preston,30 Flett St,2,t,635000,NA,NA
Preston,97 Murray Rd,3,h,550000,NA,NA
Preston,4/22 Newcastle St,2,u,485000,73,1965
Preston,7 Tiernan St,3,h,690000,92,1960
Preston,14 Arthur St,2,h,1065000,114,1910
Preston,22 Furzer St,3,h,1200000,120,1965
Preston,2/32 Kitchener Gr,3,u,798000,NA,2005
Preston,531 Murray Rd,2,h,850000,NA,NA
Preston,590 Murray Rd,3,h,1355000,NA,NA
Preston,5 North St,3,h,815000,NA,NA
Preston,103 Raglan St,3,h,971000,NA,NA
Preston,4/55 Regent St,2,u,530000,74,1970
Preston,15 Watson St,3,h,9e+05,147,1965
Preston,13 Garnet St,2,h,7e+05,85,1910
Preston,7 Hope St,3,h,930000,NA,NA
Preston,178 Raglan St,2,h,920000,97,1935
Preston,25 Pender St,3,h,842000,NA,NA
Preston,7 Wilcox St,1,h,830000,NA,1930
Preston,3 Avondale Rd,3,h,980000,121,1930
Preston,70 Bruce St,3,h,8e+05,NA,NA
Preston,16 Ellison St,4,h,930000,NA,NA
Preston,37 Kendall St,3,h,930000,NA,NA
Preston,3 Leopold St,2,h,886000,92,1950
Preston,78 Miller St,3,h,1080000,189,1925
Preston,5 Ryde St,3,h,1040000,NA,NA
Preston,1 Bellarine St,4,h,1400000,217,1925
Preston,3/9 Cormac St,2,t,660000,90,2013
Preston,6/383 Gilbert Rd,2,u,436000,65,1980
Preston,43 May St,2,h,876000,85,1950
Preston,198 Raglan St,2,h,910000,103,1950
Preston,37 Scotia St,3,h,1e+06,NA,NA
Preston,122 Tyler St,3,h,8e+05,NA,NA
Preston,283 Tyler St,3,h,928000,NA,NA
Preston,1 Tynan St,3,h,1070000,NA,NA
Preston,9 Ambon St,2,h,565000,NA,1950
Preston,4/1 Furzer St,3,t,714000,115,2005
Preston,1c Mary St,2,h,770000,129,2013
Preston,26 Mount St,3,h,1226000,NA,NA
Preston,246 Murray Rd,3,h,810000,97,1930
Preston,26 Paywit St,3,h,1127000,140,1940
Preston,19 Railway Pl,3,h,750000,NA,NA
Preston,6 Carlisle St,3,h,980000,NA,NA
Preston,2/39 Dean St,3,h,670000,NA,NA
Preston,342 Gilbert Rd,4,h,1315000,NA,1941
Preston,44 Stokes St,2,h,780000,72,1950
Preston,92 Gilbert Rd,2,h,986000,139,1940
Preston,26 Lovelace St,2,h,771000,NA,NA
Preston,421 Murray Rd,4,h,760000,280,1928
Preston,187 Gilbert Rd,3,h,850000,142,NA
Preston,9 Graham Ct,3,h,890000,NA,NA
Preston,16 Josephine Gr,2,h,1088000,NA,NA
Preston,5 Ventnor St,3,h,1123000,506,1950
Preston,209 High St,4,h,6e+05,NA,NA
Preston,22/2 Arthur St,1,u,3e+05,67,2005
Preston,34 Booth St,2,h,890000,95,1950
Preston,99 Dundas St,3,h,1040000,NA,NA
Preston,29 Hope St,3,h,1050000,NA,1948
Preston,5 Bischoff St,2,h,9e+05,528,NA
Preston,28/122 High St,2,u,425000,69,2010
Preston,1c Oak St,2,u,515000,60,2005
Preston,74 Pender St,3,h,1040000,121,1940
Preston,1/46 Tyler St,2,h,520000,NA,2012
Preston,3/18 Furzer St,3,u,605000,NA,NA
Preston,12 Newcastle St,3,h,890000,100,1950
Preston,13 Patterson St,2,h,790000,100,1925
Preston,16 Swallow St,3,h,1e+06,NA,NA
Preston,2 Esther St,2,h,860000,138,1925
Preston,21 George St,2,h,630000,82,1940
Preston,33 George St,4,h,660000,NA,NA
Preston,42 Kathleen St,3,h,810000,NA,NA
Preston,10 Pender St,4,h,875000,147,1940
Preston,27 South St,3,h,923000,118,1920
Preston,38 Wilcox St,4,h,920000,184,1920
Preston,86 Cramer St,3,h,1150000,NA,NA
Preston,33 Gordon Gr,4,h,871000,150,1950
Preston,13 Grampian St,4,h,910000,NA,NA
Preston,11 Inverloch St,3,h,1330000,NA,NA
Preston,194 Miller St,4,h,950000,140,2005
Preston,192 Murray Rd,3,h,821000,NA,NA
Preston,30 Okeefe St,3,h,888500,NA,NA
Preston,192 Wood St,4,h,870000,117,1890
Preston,31 Belgrove St,3,h,1186000,83,1960
Preston,329 Plenty Rd,3,h,9e+05,NA,1950
Preston,91 Plenty Rd,3,h,8e+05,NA,1910
Preston,252 Raglan St,3,h,1030000,NA,NA
Preston,17 Tynan St,4,h,1615000,NA,NA
Preston,25 Watson St,3,h,715000,NA,NA
Preston,1/28 Carlisle St,2,u,610000,79,1970
Preston,21 Gillingham St,3,h,1162500,123,1920
Preston,62 Leicester St,4,h,1142500,160,1970
Preston,140 Murray Rd,3,h,930000,143,1950
Preston,67 Regent St,3,h,875000,119,1950
Preston,4 Raymond St,4,h,840000,120,1950
Preston,4 Stott St,3,h,805000,NA,NA
Preston,13 The Mews,3,h,750000,127,2005
Preston,171 Tyler St,4,h,750000,150,1950
Reservoir,1/21 Dumbarton St,3,u,475000,107,1990
Reservoir,1/147 Purinuan Rd,2,u,415000,84,2012
Reservoir,30 Ashton St,3,h,731000,138,1950
Reservoir,2/20 Crookston Rd,2,u,352000,62,2012
Reservoir,19 Drysdale St,3,h,723000,86,1950
Reservoir,8/211 Edwardes St,2,u,336000,67,1970
Reservoir,53 Fordham Rd,3,h,685000,85,1955
Reservoir,1/72 Purinuan Rd,3,t,620000,NA,2006
Reservoir,10 Ryan St,3,h,620000,NA,NA
Reservoir,19 Wilkinson St,3,h,1025000,272,1950
Reservoir,2/16 Cheddar Rd,2,t,490000,84,2014
Reservoir,686 High St,3,h,805000,118,1930
Reservoir,40 Hughes Pde,4,h,770000,NA,NA
Reservoir,2/16 Odowd St,3,u,645000,NA,2002
Reservoir,31 Powell St,3,h,1005000,467,1930
Reservoir,5 Queen St,2,h,931000,NA,NA
Reservoir,15 Rodman St,2,h,810000,NA,NA
Reservoir,17 Odowd St,2,h,535000,92,2014
Reservoir,3 Xavier Gr,3,h,920000,NA,NA
Reservoir,57 Barry St,3,h,8e+05,170,1975
Reservoir,29 Dredge St,3,h,510000,135,1965
Reservoir,86 Hickford St,3,h,651000,114,1950
Reservoir,10 Zinnia St,3,h,502500,NA,NA
Reservoir,197 Albert St,2,h,365000,83,1960
Reservoir,3/38 Barton St,2,u,405000,94,2009
Reservoir,40b Drysdale St,3,t,620500,117,2011
Reservoir,28 Gloucester St,3,h,730000,NA,NA
Reservoir,1/40 Godley St,1,h,260000,80,2000
Reservoir,16 Kinsale St,3,h,665000,NA,NA
Reservoir,1/1 Leamington St,3,h,625000,186,2003
